编号,U,Pb,Ni,Co,Zn,Mn,Cu,V,Mo,Cr,Th ,Ag
21,174.0,36,74,35,127,219,74,63.0,3,71.0,21,12
45,1.5,12,22,18,109,749,29,64.0,2,44.0,1,2
13,0.6,6,31,17,105,464,11,12.0,1,15.0,1,1
63,10.5,18,29,29,94,4960,32,99.0,4,34.0,1,14
22,6.4,6,29,17,90,865,29,27.0,3,23.0,4,1
71,69.0,30,33,16,83,199,37,28.0,3,26.0,2,54
23,2.3,5,28,16,78,103,28,22.0,3,17.0,32,3
70,14.1,13,21,13,75,231,28,36.0,9,17.0,1,5
43,7.3,12,22,23,72,453,14,69.0,2,29.0,1,20
15,27.7,11,23,19,62,314,31,31.0,2,22.0,1,5
18,8.6,6,42,28,54,286,50,24.0,6,15.0,6,4
16,6.6,12,21,16,44,387,28,37.0,2,23.0,1,1
17,5.4,14,24,31,36,1140,45,78.0,5,27.0,1,6
