华加1,华加10,华加11-1
1608,136,2959
1613,176,2954
1599,174,2949
1672,180,2948
1575,182,2928
1563,215,2913
1554,129,2915
1540,267,2892
1510,268,2899
1499,199,3154
1506,183,3264
1517,348,3305
1510,326,3496
1516,250,3481
1472,306,3445
1441,364,3479
1429,325,3476
1439,284,3464
1444,336,3463
1422,276,3458
1443,238,3462
1447,202,3451
1505,195,3443
1468,203,3429
1459,214,3412
1458,325,3418
1450,336,3394
1465,275,3672
1443,309,3626
1391,276,3685
1394,255,3672
1398,220,3651
1425,250,3646
1426,213,3776
1452,232,3824
1397,245,3921
1345,274,4007
1386,269,4014
1362,280,4172
1388,270,4196
1344,267,4153
1362,359,4095
1327,379,4270
1357,375,4287
1318,338,4281
1387,374,4291
1433,379,4283
1490,242,4190
1449,286,4293
1385,247,4270
1377,285,4528
1352,322,4596
1372,320,4457
1449,230,4506
1435,150,5115
1402,190,5160
1369,217,5256
1300,171,5078
1237,142,5307
1321,233,5307
1351,260,5276
1324,274,5268
1315,257,5269
1298,256,5508
1319,278,5531
1343,215,5521
1339,152,5510
1340,168,5502
1333,145,5497
1338,225,5489
1309,249,5469
1339,291,5462
1314,236,5525
1377,203,5529
1381,163,5527
1415,181,5523
1367,167,5516
1390,187,5512
1373,173,5511
1317,153,5497
1425,146,5492
1486,153,5488
1477,163,5493
1392,154,5483
1409,160,5481
1332,173,5473
1308,149,5468
1162,146,5463
1126,143,5459
1197,164,5462
1141,336,5455
1087,197,5445
1106,155,5442
1085,144,5450
1161,142,5444
1085,144,5450
646,192,5424
622,151,5447
583,138,5558
655,114,5599
645,136,5595
500,212,5589
512,176,5577
433,171,5575
541,169,5578
535,200,5572
592,158,5576
227,207,5574
0,293,5571
0,268,5664
391,302,5670
542,293,5667
743,295,5665
513,275,5656
495,283,5758
452,292,5722
435,281,5758
390,284,5857
424,276,5893
450,301,5891
422,302,5885
497,297,5876
473,312,5877
469,296,5866
491,295,5861
483,299,5851
521,284,5852
493,274,5847
458,268,5849
444,243,5842
391,90,5832
429,0,5842
450,0,5837
441,0,5841
442,0,5831
472,0,5832
455,0,5834
967,0,5828
1111,0,5823
1164,0,5820
1181,0,5822
1216,0,5816
1238,0,5807
1233,0,5806
1314,0,5887
1302,0,5892
1305,0,5887
1312,0,5878
1298,0,5999
1290,0,5991
1318,0,5986
1297,0,5988
1293,0,5990
1336,0,5972
1335,0,5977
1341,0,5974
1322,0,5967
1337,0,5971
1310,0,5965
1319,0,5964
1321,0,5960
1322,0,5961
1427,0,5954
1410,0,5951
1386,0,5945
1353,0,5940
1378,0,5935
1412,0,5922
1390,0,5927
1375,0,5924
1361,0,5919
1321,0,5912
1314,0,5917
1339,0,6060
1343,0,6064
1321,0,6043
1316,0,6040
1317,0,6038
1320,0,6035
1090,0,6034
1378,0,6020
1325,0,6012
1335,0,6000
1311,0,6128
1318,0,6118
1307,0,6112
1303,0,6100
1295,0,6101
1307,0,6165
1300,0,6211
1286,0,6210
1307,0,6203
1288,0,6194
1280,0,6172
1274,0,6165
1266,0,6168
1246,0,6424
1256,0,6507
1255,0,6512
1274,0,6503
1258,0,6506
1223,0,6495
1225,0,6493
1221,0,6456
1228,0,6480
1229,0,6662
1238,0,6731
1236,0,6746
1220,0,6744
1213,0,6742
1214,0,6747
1216,0,6718
1221,0,6715
1200,0,6700
1221,0,6691
1210,0,6690
1233,0,6671
1209,0,6651
1215,0,6650
1196,150,6649
1193,150,6646
1207,100,6645
1215,100,6882
1193,100,6866
1186,134,6864
1209,134,6847
1198,134,6844
1190,150,6840
1192,150,6839
1211,150,6802
1215,150,6792
1195,150,6792
1202,150,6792
1187,130,6836
1212,130,6815
1176,130,6795
1170,100,6791
1178,100,7164
1174,100,7147
1179,100,7131
1158,100,7128
1119,100,7120
1138,100,7110
1110,100,7083
1094,100,7074
1167,100,7069
1162,5,7051
1146,100,7036
1142,100,7032
1146,100,7032
1133,100,7032
1148,100,7032
1146,100,7167
1172,100,7225
1123,100,7224
1119,100,7222
1132,100,7195
1149,100,7176
1117,100,7176
1137,100,7162
1107,100,7156
1097,100,7154
1091,100,7135
1124,100,7137
1131,100,7107
1148,100,7092
1155,100,7101
1158,100,7393
1136,100,7389
1152,100,7371
1156,100,7366
1195,100,7369
1178,100,7364
1137,100,7336
1134,100,7328
1120,100,7313
1106,100,7279
1102,100,7277
1139,100,7274
1220,100,7265
1310,100,7267
1283,100,7271
1206,100,7260
1138,100,7228
1098,100,7220
1068,100,7209
1013,100,7216
1019,100,7219
999,100,7197
1002,100,7185
983,100,7181
1011,100,7474
1003,100,7461
1005,100,7463
1062,100,7451
1045,100,7419
1032,100,7417
974,100,7415
972,100,7547
953,100,7541
975,100,7521
966,100,7524
962,100,7504
937,100,7428
882,100,7436
832,100,7435
939,100,7462
938,100,7448
953,100,7448
944,100,7441
937,100,7420
997,100,7434
1089,100,7424
1095,100,7428
1010,100,7416
1036,100,7416
965,100,7399
963,100,7375
979,100,7371
952,100,7382
943,100,7372
945,100,7369
910,100,7366
920,100,7360
908,100,7353
905,100,7325
908,100,7317
907,100,7314
1047,100,7415
1046,100,7416
1026,100,7417
958,100,7494
915,100,7467
914,100,7463
905,100,7464
903,100,7457
895,100,7466
913,100,7466
864,100,7441
895,100,7460
933,100,7435
1005,100,7442
988,100,7422
943,100,7413
999,100,7394
1042,100,7444
1013,100,7466
1066,100,7458
1051,100,7449
1032,100,7444
1052,100,7424
1060,100,7417
1050,100,7440
1030,100,7413
1011,100,7409
1005,100,7397
865,100,7382
756,100,7383
664,100,7382
669,100,7392
636,100,7378
715,100,7379
711,95,7427
670,100,7397
667,95,7358
691,92,7353
696,91,7349
658,86,7368
694,82,7350
723,76,7343
706,78,7313
682,80,7308
683,72,7296
707,74,7287
677,85,7275
694,90,7276
681,85,7272
684,88,7260
850,36,7260
878,11,7259
782,2,7244
751,6,7246
858,6,7242
951,50,7207
996,50,7216
953,117,7254
958,95,7241
889,83,7245
865,84,7227
851,69,7228
785,71,7214
788,80,7217
795,100,7514
910,102,7784
856,101,7988
797,91,8231
839,88,8192
810,79,8166
905,70,8362
993,56,8335
1076,70,8317
1047,67,8283
1041,52,8257
1018,49,8234
998,45,8411
992,59,8373
943,54,8343
990,56,8359
1005,44,7985
1018,33,7984
1026,28,8162
1016,33,8083
1026,33,8141
993,14,8114
973,15,8388
981,13,8350
1050,21,8408
1046,11,8397
1027,23,8502
1020,17,8484
1082,14,8451
1068,8,8577
1040,8,8590
1020,8,8565
1010,10,8574
976,9,8749
980,6,8757
945,7,8725
909,7,8726
967,7,8712
942,4,8700
941,8,8935
1128,9,8932
1108,7,8908
1057,99,8888
1033,99,8861
1021,105,9457
1016,101,9457
1008,100,9487
945,91,9467
905,94,9712
900,86,9899
1032,87,9933
1060,89,10516
1060,89,10516
1049,100,10458
1124,100,10680
1078,79,10677
1055,72,10606
1070,75,10587
1043,70,10525
1016,55,10503
990,72,10469
973,80,10691
977,60,11153
1016,60,11095
1080,46,10070
1059,45,11031
1028,45,10960
1059,45,10867
1047,41,10875
1031,42,11136
1026,26,11161
1001,27,11076
984,45,11060
944,33,11483
974,24,11381
958,39,11331
947,39,11292
972,45,11230
987,33,11196
986,16,11141
974,16,11081
1009,134,11405
1028,112,11480
966,118,11698
971,110,11715
929,95,11670
932,83,11632
946,86,11566
952,90,11504
956,88,11455
951,78,11421
971,86,11371
988,90,11314
1014,106,11220
1007,93,11275
1004,100,11178
994,92,11168
999,92,11163
1003,90,11131
995,91,11112
1001,96,11082
1012,88,11060
1005,74,11008
999,88,10977
1009,88,10949
1012,88,10916
1025,87,10895
1022,90,10847
1039,81,10776
1054,100,10798
1072,87,10754
1065,82,10748
1054,85,11050
1049,88,11041
1062,87,11008
1069,88,10958
1092,84,10914
1119,90,10896
1134,64,10847
1106,79,10866
1081,100,10846
1091,76,10828
1072,55,10786
1071,100,10798
1083,100,10765
1066,100,10681
1062,100,10744
1054,100,10705
1059,100,10704
1080,100,10665
1086,100,10643
1079,100,10609
1076,100,10578
1075,100,10534
1060,100,10559
1049,98,10551
1052,92,10532
1041,84,10517
1036,89,10491
1032,87,10482
1039,85,10444
1045,87,10411
1051,85,10384
1036,64,10355
976,86,10327
1039,85,10353
1043,83,10361
1037,87,10311
1035,85,10263
1036,84,10300
1035,81,10297
1039,82,10241
1033,80,10206
1047,78,10219
1032,83,10190
1048,84,10234
1048,86,10234
1057,83,10234
1052,85,10234
1050,80,10234
1051,84,10234
951,80,10234
732,82,10234
1261,79,10250
1149,83,10467
1088,77,10377
1077,80,10372
1064,81,10343
1054,75,10429
1035,76,10316
1024,76,10589
1043,77,10558
1037,84,10542
1034,73,10453
1036,78,10312
1035,78,10319
1017,72,10410
1017,86,10277
826,82,10206
1163,83,10327
1073,80,10339
1031,83,10309
1025,83,10165
1024,87,10140
1004,80,10043
1006,84,10016
1013,79,9976
998,78,10132
1000,76,10028
1011,75,9889
1003,75,9986
999,76,9890
1011,84,9885
1011,84,9856
1018,77,9821
1017,79,9817
1013,84,9919
1001,84,9881
1018,81,9904
996,82,9732
1006,77,9792
762,65,9816
930,78,9746
928,81,9704
933,83,9671
926,81,9756
865,80,9610
879,85,9623
883,91,9625
895,89,9668
905,91,9607
919,91,9578
905,90,9581
909,89,9579
898,88,9607
906,90,9537
917,89,9602
917,89,9585
901,87,9549
899,87,9567
888,87,9544
909,87,9505
914,80,9571
927,71,9513
923,100,9514
928,100,9559
924,100,9478
929,100,9548
928,100,9585
935,72,9496
937,65,9459
859,69,9437
959,75,9416
961,85,9361
963,77,9361
966,70,9362
978,73,9348
970,78,9351
956,77,9420
958,73,9372
948,78,9376
944,75,9441
951,75,9397
947,81,9430
918,75,9389
920,73,9482
934,79,9392
951,85,9418
951,84,9311
935,80,9322
952,79,9314
933,82,9245
931,81,9257
932,80,9259
934,78,9160
922,82,9321
937,82,9181
939,80,9217
927,82,9284
932,78,9279
925,73,9270
932,69,9228
936,71,9208
926,78,9219
926,78,9219
897,84,9384
911,78,9356
915,95,9294
932,78,9276
915,78,9299
914,81,9341
930,100,9320
915,100,9283
923,100,9258
912,100,9300
904,100,9320
929,100,9318
933,100,9295
939,100,9251
911,100,9275
920,100,9333
895,100,9310
908,100,9296
912,100,9220
909,100,9245
902,100,9330
911,100,9229
938,100,9281
922,100,9192
914,100,9248
901,83,9272
926,86,9265
936,77,9267
933,93,9097
949,152,9313
911,148,9329
908,153,9288
907,150,9286
897,147,9261
901,146,9276
909,147,9273
903,133,9273
899,130,9301
905,141,9253
913,125,9294
891,122,9269
873,115,9272
885,115,9224
877,117,9252
860,113,9270
883,115,9218
871,119,9228
912,121,9235
879,119,9247
875,115,9250
896,119,9248
924,118,9232
925,110,9209
914,109,9262
885,117,9328
891,105,9282
879,114,9235
880,105,9146
878,104,9220
862,107,9208
866,105,9272
877,125,9237
872,100,9260
868,109,9250
843,100,9236
795,100,8803
799,78,9234
981,96,9251
896,125,9235
887,134,9277
883,136,9254
851,100,9271
845,100,9255
829,180,9293
877,138,9327
877,129,9285
896,175,9265
848,139,9214
745,188,9247
819,156,9217
868,124,9217
784,192,9225
770,189,9223
820,188,9219
754,176,8106
795,172,9310
797,182,9235
831,189,9223
853,187,9203
848,188,9196
843,190,9208
841,180,9251
827,187,9188
837,191,9177
816,186,9158
830,180,9186
846,180,9140
834,181,9139
866,180,9166
815,165,9100
850,264,9139
828,299,9116
831,289,9102
857,280,9071
828,276,9070
799,276,9039
817,272,9012
812,262,9067
811,263,9031
845,207,8996
838,201,9024
779,312,9106
758,303,9117
761,307,9071
780,262,9054
775,262,9057
778,256,9079
772,257,8999
349,260,9029
241,265,9047
100,250,8965
100,425,9032
100,420,8998
100,450,8993
100,415,8981
100,352,8974
95,305,8925
100,305,8948
100,270,8938
100,352,8890
101,352,8898
96,370,8905
156,352,8814
169,315,8887
160,350,8871
198,330,6358
213,319,8357
189,301,9186
177,280,9053
40,278,8958
40,280,8979
1018,277,8895
1352,264,8914
1260,260,8831
1168,264,8810
1114,256,8805
1094,254,8731
595,248,8828
183,249,8758
505,252,8692
776,256,8620
847,247,8619
1054,246,8591
1004,241,8690
1004,241,8656
1004,241,8690
1004,241,8616
1001,339,8573
914,354,8585
900,321,8542
897,318,8553
875,313,8479
904,311,8449
888,311,8467
871,305,8439
860,303,8488
940,301,8436
950,406,8450
916,406,8379
919,391,8474
890,388,8406
854,393,8404
861,389,8397
859,377,8357
859,375,8293
845,374,8296
872,373,8361
833,371,8395
848,368,8331
842,364,8279
833,363,8273
835,357,8364
849,361,8335
814,359,8244
823,357,8324
829,362,8311
836,362,8277
832,355,8314
843,355,8254
845,352,8221
834,352,8196
800,350,8295
889,350,8211
873,362,8180
860,350,8207
842,372,8256
843,352,8173
829,352,8203
821,352,8187
810,352,8167
821,352,8157
812,352,8154
829,362,8117
828,352,8062
825,352,8083
839,350,8044
796,340,8142
807,352,8125
833,350,8062
822,352,8094
812,341,8114
815,352,8042
810,352,8042
809,350,8023
813,352,7977
818,335,8011
829,333,7952
825,333,7933
828,335,7941
822,333,7973
826,331,7939
818,327,7981
822,327,7931
816,338,7917
819,327,7885
809,355,7841
820,349,7878
824,327,7958
821,326,7881
814,325,7864
814,321,7878
805,323,7864
812,324,7809
790,327,7871
802,322,7846
800,322,7808
801,329,7802
801,329,7778
792,308,7783
780,316,7684
801,313,7699
802,317,7818
801,317,7812
800,317,7772
801,316,7716
803,316,7701
810,319,7837
791,320,7749
789,312,7771
783,310,7702
791,318,7702
787,319,7755
852,310,7828
842,327,7733
807,324,7694
810,321,7764
806,319,7798
792,310,7686
816,321,7680
784,334,7674
775,323,7702
790,323,7730
789,323,7696
790,320,7662
782,319,7611
774,328,7628
783,321,7715
786,327,7730
775,326,7625
773,335,7637
770,314,7636
775,313,7650
769,312,7593
767,312,7576
769,312,7562
764,312,7555
771,311,7560
764,309,7532
746,308,7483
761,308,7562
771,310,7628
774,310,7628
763,306,7577
764,307,7535
758,307,7550
756,309,7521
764,309,7547
760,309,7483
753,309,7486
749,306,7460
748,309,7458
751,311,7442
749,309,7443
747,307,7533
749,307,7657
746,318,7590
750,306,7537
738,312,7426
739,307,7432
731,307,7316
741,306,7393
736,306,7346
726,309,7320
717,306,7289
722,306,7329
725,309,7397
723,307,7307
727,309,7263
729,307,7295
707,303,7272
723,307,7306
724,307,7298
721,306,7255
716,305,7247
728,304,7283
733,304,7270
724,309,7263
733,309,7217
720,300,7335
723,301,7253
722,299,7304
721,301,7281
722,306,7253
719,306,7218
721,304,7221
721,306,7237
725,302,7247
725,301,7249
724,302,7206
721,299,7231
731,297,7319
727,301,7308
726,304,7282
730,304,7290
715,306,7335
711,307,7326
709,308,7286
706,300,7264
713,305,7243
699,305,7224
704,305,7215
709,305,7211
715,305,7252
718,305,7229
716,302,7236
707,302,7233
702,302,7202
705,295,7270
702,294,7172
700,293,7239
706,296,7281
699,295,7122
709,305,7202
677,295,7254
679,302,7186
675,297,7204
685,302,7213
681,302,7191
693,303,7085
700,299,7181
707,300,7279
707,300,7364
709,295,7293
684,294,7260
690,296,7238
689,293,7259
687,291,7249
686,291,7256
698,294,7311
697,287,7337
693,285,7271
698,282,7297
704,282,7282
715,279,7252
695,278,7250
692,277,7226
686,277,7310
678,275,7252
643,277,7339
704,277,7310
697,275,7333
686,277,7320
676,280,7350
680,280,7338
684,282,7329
683,283,7340
676,275,7323
687,272,7398
688,273,7396
692,274,7389
695,274,7409
684,270,7390
678,271,7393
681,272,7393
677,269,7389
664,267,7462
673,266,7432
668,260,7444
661,252,7420
670,250,7450
652,251,7454
698,252,7464
659,251,7488
623,252,7496
646,245,7467
687,308,7499
687,252,7507
686,248,7549
671,247,7520
701,247,7503
678,246,7491
640,242,7537
673,240,7601
640,233,7597
647,233,7535
678,235,7452
643,231,7457
624,231,7535
633,230,7593
577,230,7624
576,221,7551
714,223,7528
701,224,7519
706,222,7611
691,223,7692
675,147,7735
647,149,7696
758,156,7563
760,158,7547
716,156,7564
715,229,7660
709,237,7689
692,240,7666
703,234,7618
686,233,7557
731,230,7566
726,230,7634
735,232,7674
756,232,7614
824,213,7713
800,226,7608
787,225,7584
790,221,7579
795,213,7648
835,217,7697
802,209,7696
762,202,7689
735,199,7634
733,197,7575
740,199,7652
772,191,7655
720,197,7713
720,189,7652
625,184,7642
652,195,7596
560,187,7648
692,186,7718
712,191,7691
712,186,7673
750,181,7643
702,191,7616
684,182,7650
700,173,7668
782,174,7723
739,177,7713
715,166,7747
749,239,7758
800,238,7720
785,225,7789
743,221,7810
784,220,7788
787,222,7781
781,219,7789
706,218,7774
741,217,7809
719,224,7763
745,216,7757
725,235,7756
781,228,7747
768,221,7752
772,216,7762
729,217,7753
762,210,7757
745,215,7768
725,226,7752
725,226,7738
749,216,7748
711,210,7722
697,203,7725
738,204,7729
725,201,7745
750,196,7804
735,187,7836
736,100,7778
769,100,7788
761,198,7805
723,223,7769
644,197,7775
692,198,7742
763,187,7826
765,185,7772
720,191,7757
698,197,7736
699,185,7777
719,186,7786
654,185,7805
637,192,7750
603,207,7725
580,201,7733
631,189,7752
632,184,7774
637,192,7749
709,199,7729
639,201,7676
680,208,7718
651,188,7702
695,201,7584
666,197,7714
717,192,7739
755,189,7728
732,195,7674
731,186,7651
692,191,7612
701,186,7663
706,180,7623
626,174,7683
686,169,7672
679,185,7473
658,184,7559
732,190,7559
740,200,7353
792,185,7586
807,169,7753
812,178,7673
808,178,7664
811,176,7650
762,172,7625
724,163,7680
722,157,7707
726,164,7563
729,171,7467
725,172,7364
672,173,7365
620,161,7331
523,161,7342
720,175,7384
745,182,7395
768,175,7342
769,180,7376
770,167,7402
763,159,7350
764,169,7340
764,170,7329
767,171,7299
726,172,7295
760,166,7271
737,168,7288
747,167,7316
744,167,7322
764,169,7278
762,169,7235
769,158,7296
784,150,7307
774,152,7264
792,155,7246
755,148,7156
737,157,7287
772,155,7268
775,145,7249
785,157,7259
796,156,7246
761,141,7226
779,146,7242
782,156,7265
780,166,7274
780,157,7134
790,163,7197
802,165,7223
813,168,7257
777,167,7223
792,169,7109
770,166,6975
806,149,7095
812,167,7144
812,164,7128
857,168,7128
829,149,7116
828,100,7114
826,100,7106
833,100,7116
836,100,7084
849,100,7093
843,100,7099
801,100,7137
805,100,7103
829,100,7095
838,100,7122
817,100,7143
834,100,7109
832,100,7090
834,100,7089
828,100,7111
825,100,7102
832,100,7092
829,100,7102
829,100,7017
823,100,7057
832,100,7080
822,100,7082
825,100,7065
833,100,7047
826,100,7054
829,100,7038
837,100,7035
831,100,7033
838,100,7042
846,100,7053
841,100,7060
849,100,7092
838,122,7092
841,264,7092
847,255,7081
844,281,7090
827,292,7058
791,299,7055
799,295,6977
807,295,6998
809,292,6999
812,285,6996
853,286,6997
848,281,6987
839,289,6985
836,279,6968
848,280,6984
839,278,6991
846,275,6996
849,274,6950
855,265,6966
852,267,6961
850,267,6990
876,271,6979
956,267,6989
904,271,6984
827,267,6985
833,267,6979
848,267,6989
851,269,6987
847,269,6958
836,267,6949
833,268,6948
840,269,6946
831,261,6978
837,264,6989
835,268,6991
842,266,6989
822,260,6990
830,258,6991
862,257,6996
865,256,6970
861,260,6977
831,261,6971
839,260,6962
848,258,6956
855,258,6940
856,261,6934
859,256,6943
858,259,6932
867,251,6932
864,260,6713
858,258,6865
859,255,6880
864,253,6881
868,256,6873
870,253,6861
870,251,6871
889,254,6813
899,252,6798
887,250,6767
893,253,6790
889,239,6780
881,250,6764
780,217,6402
1020,265,6902
660,208,6392
793,146,4071
1005,292,7403
1048,257,7258
1048,268,6991
1045,267,7043
991,279,6981
982,267,6947
980,261,6892
957,266,6862
958,260,6835
969,264,6848
980,263,6819
957,275,6755
978,270,6819
988,270,6813
983,270,6811
988,209,6817
979,225,6810
971,268,6819
963,255,6814
980,270,6828
979,268,6839
943,260,6846
930,269,6851
919,262,6842
923,270,6838
925,263,6842
919,266,6838
912,263,6822
924,259,6811
882,256,6782
872,250,6790
888,252,6774
905,252,6772
911,252,6767
914,252,6778
923,252,6796
919,252,6773
