FID,Wellname,Depth,Romax,Coaltype,Thick,Mad,Aad,Vad,Fcad,Gas,CH4,CO2,N2
0,M-15,693.2,1.37,mvb,2.75,0.86,7.53,22.37,69.24,8.23,95.15,0.66,4.19
1,M-32,764.8,1.43,mvb,2.94,0.71,6.79,21.37,71.13,11.84,96.54,1.06,2.4
2,M-37,681.2,1.29,mvb,4.16,0.64,7.41,24.09,67.86,9.18,96.2,0.57,1
3,M-47,680.6,1.21,mvb,2.4,0.68,7.95,25.79,65.58,6.07,92.24,1.3,5.56
4,M-55,648.5,1.29,mvb,2.54,0.7,7.94,24.14,67.22,5.96,87.51,1.44,7.87
5,M-149,547.4,1.67,lvb,1.7,1,7.39,17.17,74.44,6.08,83.56,0.8,15.64
6,M-169,592.7,1.37,mvb,1.1,0.84,29.23,22.54,47.39,6.75,95.42,0.46,3.87
7,M-193,554.2,1.33,mvb,1.2,0.68,35.84,23.32,40.16,4.57,60.19,3.34,36.46
8,M-215,522.5,1.58,lvb,2.3,0.79,28.87,18.66,51.68,7.9,69.08,2.15,27.84
9,M-227,364.8,1.7,lvb,1.5,1.02,37.08,16.66,45.24,6.19,66.12,0.44,33.44
10,T-7,675.1,1.48,mvb,2.04,0.52,14.48,20.4,64.6,7.96,97.33,1.14,1.53
11,T-15,652.3,1.49,mvb,1.1,0.6,9.86,20.3,69.24,8.31,96.14,0.81,2.46
12,T-17,717.4,1.38,mvb,1.5,0.91,21.48,22.27,55.34,5.74,77.81,1.6,18.66
13,T-19,528.3,1.62,lvb,3.3,0.68,9.9,17.97,71.45,11.58,83.26,1.81,14.93
14,T-46,513.7,1.67,lvb,2.2,0.82,6.48,17.23,75.47,13.34,98.54,0.89,0.57
15,T-80,429.5,1.62,lvb,2.75,0.48,9.3,18.06,72.16,9.2,98.79,0.29,0.92
16,T-119,382.7,1.41,mvb,2.5,0.85,40.24,21.64,37.27,4.25,88.11,0.48,11.41
17,T-123,367.7,1.62,lvb,1.7,0.56,14.54,18.02,66.88,6.17,81.98,0.23,17.8
18,T-126,295.7,1.57,lvb,2.1,0.3,18.72,18.84,62.14,6.64,91.01,0.75,7.4
19,T-155,389.3,1.47,mvb,3.8,0.84,27.73,20.61,50.82,7.77,98.01,0.18,1.81
20,D-6,400.4,1.59,lvb,0.6,0.76,26.32,18.49,54.43,3.83,84.37,0.59,14.61
21,D-26,472.8,1.6,lvb,1.3,0.42,17.74,18.29,63.55,7.94,97.69,0.68,1.62
22,D-51,419.6,1.7,lvb,1.4,0.44,12.88,16.75,69.93,8.81,92.65,0.59,6.75
23,D-78,358.3,1.41,mvb,0.95,0.61,37.38,21.61,40.4,7.88,89.12,0.27,10.61
